Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GSF-GSF,142137,144009523,9.161212772,-2.014159066,1.595701845,8.793447451,2.56965,1.94408,2.4716,-1,110.992972,2.403958279,30.35636254,-106.7340249,30.4514,-1.96711,1.49177,1,61.83514409
GSF-GSF,142137,144009523,9.161212772,-2.014159066,1.595701845,8.793447451,2.56965,1.94408,2.4716,-1,13.79998687,-6.485557248,0.54909373,12.16863511,6.50876,1.38374,3.05713,-1,3.310960275
GSF-GSF,142137,144009523,10.94803572,-2.762192461,1.316866587,10.51169069,3.06004,1.94775,2.69672,1,35.71192394,-9.504711307,-32.36596225,-11.72375631,33.7327,-0.340907,-1.85643,-1,32.57544264
GSF-GSF,142137,144009523,10.94803572,-2.762192461,1.316866587,10.51169069,3.06004,1.94775,2.69672,1,110.992972,2.403958279,30.35636254,-106.7340249,30.4514,-1.96711,1.49177,1,67.87893626
GSF-GSF,142137,144009523,10.94803572,-2.762192461,1.316866587,10.51169069,3.06004,1.94775,2.69672,1,13.79998687,-6.485557248,0.54909373,12.16863511,6.50876,1.38374,3.05713,-1,3.010774159
GSF-GSF,142137,144009523,10.94803572,-2.762192461,1.316866587,10.51169069,3.06004,1.94775,2.69672,1,9.161212772,-2.014159066,1.595701845,8.793447451,2.56965,1.94408,2.4716,-1,0.63002196
GSF-GSF,142137,8216898,96.96497562,-38.44095003,35.51195644,-81.62965642,52.3336,-1.22748,2.39578,-1,48.12912492,14.9666327,-33.70834206,-30.92184093,36.8816,-0.76238,-1.15294,1,88.48820179
GSF-GSF,142137,115569013,87.98176258,44.16829298,-3.210203503,-76.02398986,44.2848,-1.30926,-0.0725536,1,140.0326368,-40.54571223,-8.448176823,-133.7677573,41.4165,-1.88872,-2.93617,-1,88.48134389
GSF-GSF,142187,92327553,161.802497,-31.73708581,-53.2730916,149.4482624,62.0102,1.6133,-2.10808,1,116.666933,25.05464222,21.58463383,111.8818205,33.0701,1.93312,0.711134,-1,90.57040275
GSF-GSF,142189,130030873,42.12794398,-29.20781607,-23.59328597,-19.1056013,37.5465,-0.489115,-2.46213,-1,41.93181253,30.95727609,23.57736147,-15.62152313,38.9133,-0.391376,0.65089,1,76.53109583
GSF-GSF,142189,121149731,22.90835734,-5.583375449,19.25544807,11.08361285,20.0486,0.527965,1.85302,1,89.36376862,0.790616904,-22.52422866,-86.47495123,22.5381,-2.05436,-1.53571,-1,82.99108931
GSF-GSF,142189,156776171,176.7305901,43.02039448,0.643035,171.4133414,43.0252,2.09083,0.0149461,1,143.6168955,-33.35284761,6.916752335,139.5190266,34.0625,2.11773,2.93711,-1,76.11151157
GSF-GSF,142189,107262578,231.388699,43.56426335,-37.39068144,-224.1535677,57.41,-2.07127,-0.709286,-1,201.4045121,12.11772674,41.48440939,-196.712943,43.218,-2.22049,1.2866,1,84.04820663
GSF-GSF,142189,74250285,45.58859122,-7.970308079,-43.77695285,9.918277946,44.4966,0.221094,-1.75089,-1,48.15702751,14.70707166,37.55943388,-26.30760855,40.3362,-0.613075,1.19758,1,91.84546449
GSF-GSF,142191,19555385,114.0255065,-4.368128305,-31.82704479,109.4064661,32.1254,1.93946,-1.70719,1,37.2064405,9.740739129,33.11302247,13.89118276,34.516,0.392315,1.2847,-1,87.39721342
